0	1	2	-0.0870062237
0	1	3	-0.1025083799
0	1	4	-0.1037205260
0	1	5	-0.4771284207
0	1	6	-0.1528439421
0	1	7	-0.0995010211
0	1	8	-0.1591809883
0	1	9	-0.3265962311
1	6	7	-0.2120744099
1	6	8	-0.1322584666
1	6	9	-0.2316562388
1	7	8	-0.0395475493
1	7	9	-0.1939327170
0	3	4	-0.0612218541
0	3	5	-0.3304189575
0	3	6	-0.0945611203
0	3	7	-0.1238982537
0	3	8	-0.0717685356
0	3	9	-0.4043124472
1	8	9	-0.1042183413
2	6	7	-0.1502881848
2	6	8	-0.0651193327
2	6	9	-0.0398059052
0	8	9	-0.6381511447
5	6	7	-1.0974872676
5	6	8	-0.6656493053
5	6	9	-0.3417087853
5	7	8	-0.2062896605
5	7	9	-0.2492780945
1	4	5	-0.3765658130
1	4	6	-0.1894450157
1	4	7	-0.1701707810
1	4	8	-0.3136851291
1	4	9	-0.0670034716
2	7	8	-0.2450030927
2	7	9	-0.0382059792
2	8	9	-0.0426568934
1	5	6	-0.1377566269
1	5	7	-0.1846359463
1	5	8	-0.1222474353
1	5	9	-0.0890791615
5	8	9	-0.2445539785
6	7	8	-0.2320396120
6	7	9	-0.1395534725
0	5	6	-0.2402987062
0	5	7	-0.1222032281
0	5	8	-0.3698734694
0	5	9	-0.0825338456
2	3	4	-0.2009979705
2	3	5	-0.0507649903
2	3	6	-0.0087580251
2	3	7	-0.0557277536
2	3	8	-0.0132392686
2	3	9	-0.0156761520
3	8	9	-0.5403858930
0	6	7	-0.0848079497
0	6	8	-0.1334348254
0	6	9	-0.5941001631
2	4	5	-0.3112563790
2	4	6	-0.1316296766
2	4	7	-0.0805591908
2	4	8	-0.2548775906
2	4	9	-0.0256364876
3	6	7	-0.0773920308
3	6	8	-0.0570593346
3	6	9	-0.6159111734
1	3	4	-0.3572087918
1	3	5	-0.0545163936
1	3	6	-0.2678803925
1	3	7	-0.2144887766
1	3	8	-0.0693896876
1	3	9	-0.3940469476
3	5	6	-0.3155052491
3	5	7	-0.2652489118
3	5	8	-0.0574386966
3	5	9	-0.2286234884
4	6	7	-0.2736427174
4	6	8	-0.4375002315
4	6	9	-0.3907423946
0	4	5	-0.6118860886
0	4	6	-0.3445802375
0	4	7	-0.3164133931
0	4	8	-0.6089986228
0	4	9	-0.1076145254
2	5	6	-0.0782280265
2	5	7	-0.1921985283
2	5	8	-0.1738314029
2	5	9	-0.3822407984
3	4	5	-0.5788372548
3	4	6	-0.1302891664
3	4	7	-0.3892685700
3	4	8	-0.0734781566
3	4	9	-0.0629690775
0	2	3	-0.0202143551
0	2	4	-0.0141216645
0	2	5	-0.0467167468
0	2	6	-0.0717827508
0	2	7	-0.1726612397
0	2	8	-0.0917174980
0	2	9	-0.0595951012
3	7	8	-0.0108132148
3	7	9	-0.1163735217
4	5	6	-0.8726943117
4	5	7	-0.8061454064
4	5	8	-0.6942466168
4	5	9	-0.2906495980
1	2	3	-0.1241684597
1	2	4	-0.2469474780
1	2	5	-0.2121851335
1	2	6	-0.2558788435
1	2	7	-0.0158276215
1	2	8	-0.1876390204
1	2	9	-0.0111940699
4	7	8	-0.1509365750
4	7	9	-0.1956820562
4	8	9	-0.1522528339
0	7	8	-0.5448426203
0	7	9	-0.0537045420
6	8	9	-0.1929706231
7	8	9	-0.1694176034
