0	1	2	-0.5440548483
0	1	3	-0.6502703388
0	1	4	-0.2573782097
0	1	5	-0.2115224009
0	1	6	-0.5387713246
0	1	7	-0.9398289889
0	1	8	-0.4064357608
0	1	9	-0.9488780294
1	6	7	-0.2805633090
1	6	8	-0.0122059570
1	6	9	-0.0790538536
2	5	6	-0.3960629949
2	5	7	-0.5703228974
2	5	8	-0.0497796123
2	5	9	-0.9356071223
0	3	4	-0.0908342237
0	3	5	-1.6765362110
0	3	6	-0.6438974760
0	3	7	-0.4643374430
0	3	8	-0.3379998482
0	3	9	-1.1316629673
1	7	8	-0.4270200669
1	7	9	-0.2067005441
2	6	7	-1.1639469081
2	6	8	-0.0142406247
2	6	9	-0.0113195151
0	8	9	-1.9493088059
3	5	6	-1.1153358278
3	5	7	-1.7000182687
3	5	8	-0.2302962557
3	5	9	-0.9493537906
3	6	7	-0.3679979293
3	6	8	-3.8320193931
3	6	9	-1.8921946272
0	5	6	-0.9983783331
0	5	7	-3.0926266429
0	5	8	-0.4442896413
0	5	9	-1.4509093143
1	8	9	-2.5403567544
2	4	5	-3.2238603873
2	4	6	-0.1308674909
2	4	7	-0.7946489205
2	4	8	-1.0374707143
2	4	9	-0.3619559022
1	5	6	-0.5346180666
1	5	7	-0.0920261672
1	5	8	-0.0130736436
1	5	9	-0.5774422407
3	8	9	-1.9744496988
4	8	9	-0.9173309236
0	7	8	-1.0450699639
0	7	9	-0.2889040361
3	7	8	-0.4874500700
3	7	9	-0.0768844567
5	6	7	-2.0860397991
5	6	8	-0.0459557956
5	6	9	-0.3877079187
1	3	4	-0.7997363667
1	3	5	-0.2358828599
1	3	6	-0.1876059955
1	3	7	-0.3933163328
1	3	8	-0.2031741448
1	3	9	-0.5604798609
4	7	8	-0.3983992632
4	7	9	-0.1175568956
5	8	9	-1.8293099665
1	4	5	-1.5149766960
1	4	6	-0.0811385578
1	4	7	-0.7254631958
1	4	8	-1.2056472173
1	4	9	-0.6895515549
4	6	7	-0.4941129854
4	6	8	-1.8267900800
4	6	9	0.0053202344
6	8	9	-3.1505145113
0	2	3	-0.3861227702
0	2	4	-0.5352230954
0	2	5	-1.2361931113
0	2	6	-0.2205485716
0	2	7	-1.0582085274
0	2	8	-0.4793032417
0	2	9	-0.3110831726
4	5	6	-0.5217712933
4	5	7	-1.6725840633
4	5	8	-0.4237170599
4	5	9	-1.7126014904
6	7	8	-0.5845565304
6	7	9	-0.2935347961
1	2	3	-0.2976929367
1	2	4	-1.2515892109
1	2	5	-0.0836401928
1	2	6	-0.0408674807
1	2	7	0.0002612631
1	2	8	-0.0109523127
1	2	9	-0.0193132752
5	7	8	-0.4508952976
5	7	9	-0.7156990364
7	8	9	-0.3714552604
0	4	5	-0.6200995564
0	4	6	-0.4713769463
0	4	7	-0.7195800540
0	4	8	-0.2903072763
0	4	9	-0.1942187536
2	7	8	-0.1135500182
2	7	9	-0.6858492411
2	8	9	-0.7852962125
0	6	7	-0.9046673536
0	6	8	-1.3163823778
0	6	9	-2.6071049446
2	3	4	-0.8589137915
2	3	5	-0.7894626767
2	3	6	-0.0059533600
2	3	7	-0.1811601583
2	3	8	-1.7151966692
2	3	9	-0.0366709315
3	4	5	-1.4935699143
3	4	6	-1.0976954007
3	4	7	-0.8188411898
3	4	8	-1.2391461808
3	4	9	-0.3092705122
