0	7	8	-1.9330824055
0	7	9	-0.2220129873
1	6	7	-0.2939430898
1	6	8	-1.6280553696
1	6	9	0.1043320566
1	7	8	-0.7327678163
1	7	9	-0.2065303366
0	2	3	-0.2950748932
0	2	4	-1.4199547315
0	2	5	-14.3577679874
0	2	6	-10.3150288725
0	2	7	-1.2669371661
0	2	8	-1.5255499146
0	2	9	-0.8286604926
1	8	9	-1.2455355472
2	3	4	-2.8047363895
2	3	5	-1.6759074881
2	3	6	-0.4864044996
2	3	7	-0.7893542424
2	3	8	-0.8355153967
2	3	9	-0.6196398936
0	3	4	0.0367584037
0	3	5	-1.0302211323
0	3	6	-0.9162400656
0	3	7	-0.3890602544
0	3	8	-0.6741795080
0	3	9	-1.0998066788
2	6	7	-0.5531591798
2	6	8	-2.1115185027
2	6	9	-4.2011865876
3	4	5	-0.9879409100
3	4	6	-0.4042147206
3	4	7	-0.4871539038
3	4	8	-1.0049750549
3	4	9	-0.2873599674
0	6	7	-13.5645187771
0	6	8	-10.2054544139
0	6	9	-1.0165023965
2	5	6	-0.9158900131
2	5	7	-0.4534315755
2	5	8	-0.0008323192
2	5	9	-0.6283928126
3	7	8	-0.1920005017
3	7	9	-0.0817483482
0	5	6	-1.7273638618
0	5	7	-18.3861463400
0	5	8	-2.4048841667
0	5	9	-0.9580104052
2	4	5	-2.6199485898
2	4	6	-6.9778878486
2	4	7	-0.6580138040
2	4	8	-0.6790429813
2	4	9	-0.0498336465
3	8	9	-1.0226516047
0	1	2	-0.1404874645
0	1	3	-1.0321216461
0	1	4	-0.1147724218
0	1	5	-0.3712314956
0	1	6	-2.0794155221
0	1	7	-0.7052116921
0	1	8	-12.5922997366
0	1	9	-1.5469752653
2	8	9	-0.0627792546
3	5	6	-1.9479962744
3	5	7	-1.7666273572
3	5	8	-0.6188567707
3	5	9	-0.7127271815
0	4	5	-0.2315906433
0	4	6	-0.6289489715
0	4	7	-0.7251388897
0	4	8	-0.1426643615
0	4	9	-0.0480868280
2	7	8	-0.1568813065
2	7	9	-0.8261531253
3	6	7	-0.4856573860
3	6	8	-1.6741941261
3	6	9	-2.2343891230
1	2	3	-0.2527543371
1	2	4	-1.2201754559
1	2	5	-0.1615450497
1	2	6	-0.5677656800
1	2	7	-0.0131115500
1	2	8	-0.0477181656
1	2	9	0.0243706277
4	5	6	-0.3097389307
4	5	7	-1.8574350025
4	5	8	-0.6128792405
4	5	9	-0.8158077907
4	8	9	-0.4836246119
1	3	4	-0.7997363667
1	3	5	-0.4600267635
1	3	6	-0.2788921511
1	3	7	-0.4119393724
1	3	8	-0.6736644521
1	3	9	-0.7123954794
4	6	7	-2.2800751720
4	6	8	-1.0462949327
4	6	9	0.0829362035
4	7	8	-0.2092233176
4	7	9	-0.0297285384
0	8	9	-0.7571123746
5	6	7	-3.3472681505
5	6	8	-0.7214616242
5	6	9	-0.1250372927
5	7	8	-0.5327366881
5	7	9	-0.8454078538
1	5	6	-1.2198162139
1	5	7	-0.5362927709
1	5	8	-0.6297504120
1	5	9	-1.1429352101
5	8	9	-0.3968477675
6	7	8	-3.8811117505
6	7	9	-2.0227030683
1	4	5	-2.0031730167
1	4	6	-0.7393997195
1	4	7	-0.5059844592
1	4	8	-3.8328205439
1	4	9	-0.1327833118
6	8	9	-1.6352297606
7	8	9	-0.3816241328
