0	6	7	-0.8176496165
0	6	8	-1.3163823778
0	6	9	-2.6071049446
1	7	8	-0.4437797643
1	7	9	-0.1942248469
2	6	7	-0.6945525899
2	6	8	-0.0142406247
2	6	9	-0.0113195151
0	3	4	-0.0908342237
0	3	5	-1.0262306213
0	3	6	-0.6438974760
0	3	7	-0.3006273407
0	3	8	-0.3379998482
0	3	9	-1.1316629673
1	8	9	-2.5403567544
2	5	6	-0.1061915620
2	5	7	-0.5080813486
2	5	8	-0.0229736146
2	5	9	-1.0685164197
0	8	9	-1.9493088059
4	5	6	-0.1958301539
4	5	7	-3.0996559621
4	5	8	-0.1600320225
4	5	9	-1.5964661548
4	6	7	-0.7731937391
4	6	8	-1.8267900800
4	6	9	0.0053202344
0	2	3	-0.3861227702
0	2	4	-0.5352230954
0	2	5	-0.9041279862
0	2	6	-0.2205485716
0	2	7	-0.7308782515
0	2	8	-0.4793032417
0	2	9	-0.3110831726
1	4	5	-3.2749385390
1	4	6	-0.0811385578
1	4	7	-0.4278133772
1	4	8	-1.2056472173
1	4	9	-0.6895515549
2	3	4	-0.8589137915
2	3	5	-0.3164011310
2	3	6	-0.0059533600
2	3	7	-0.1816178766
2	3	8	-1.7151966692
2	3	9	-0.0366709315
0	1	2	-0.5440548483
0	1	3	-0.6502703388
0	1	4	-0.2573782097
0	1	5	-0.4753519606
0	1	6	-0.5387713246
0	1	7	-0.6711207115
0	1	8	-0.4064357608
0	1	9	-0.9488780294
2	7	8	-0.1208491949
2	7	9	-0.6489648516
3	5	6	-1.1373544636
3	5	7	-1.1963098642
3	5	8	-0.2421897339
3	5	9	-0.5102306357
0	5	6	-0.5397021801
0	5	7	-5.4578855134
0	5	8	-0.1695546359
0	5	9	-1.3157506855
2	8	9	-0.7852962125
3	4	5	-0.8730963769
3	4	6	-1.0976954007
3	4	7	-0.4473162178
3	4	8	-1.2391461808
3	4	9	-0.3092705122
0	4	5	-0.5888887836
0	4	6	-0.4713769463
0	4	7	-0.7255480686
0	4	8	-0.2903072763
0	4	9	-0.1942187536
2	4	5	-4.6865764444
2	4	6	-0.1308674909
2	4	7	-0.4627076509
2	4	8	-1.0374707143
2	4	9	-0.3619559022
3	6	7	-0.1539836670
3	6	8	-3.8320193931
3	6	9	-1.8921946272
1	6	7	-0.1244574194
1	6	8	-0.0122059570
1	6	9	-0.0790538536
4	7	8	-0.5082807897
4	7	9	-0.1289945757
4	8	9	-0.9173309236
0	7	8	-1.4540692524
0	7	9	-0.4025030600
3	7	8	-0.5141372584
3	7	9	-0.0670673332
3	8	9	-1.9744496988
1	3	4	-0.7997363667
1	3	5	-0.3824673932
1	3	6	-0.1876059955
1	3	7	-0.3942280277
1	3	8	-0.2031741448
1	3	9	-0.5604798609
5	6	7	-2.1458037441
5	6	8	-0.0471174544
5	6	9	-0.1408085600
5	7	8	-1.3387581208
5	7	9	-1.5264571705
1	2	3	-0.2976929367
1	2	4	-1.2515892109
1	2	5	-0.2763970829
1	2	6	-0.0408674807
1	2	7	0.0002626149
1	2	8	-0.0109523127
1	2	9	-0.0193132752
5	8	9	-1.1328895390
6	7	8	-1.3745379455
6	7	9	-0.5547284748
1	5	6	-0.7610320533
1	5	7	-0.4700292446
1	5	8	-0.0205564006
1	5	9	-1.6772006240
6	8	9	-3.1505145113
7	8	9	-0.8234768366
