0	2	3	-1.6945307138
0	2	4	-1.4812999107
0	2	5	0.0000000000
0	2	6	-7.4716839457
0	2	7	-0.5979764596
0	2	8	-0.0213563873
0	2	9	-0.4083012825
1	6	7	-0.5957553149
1	6	8	-0.0125232238
1	6	9	-0.2865325334
1	7	8	-3.6890453553
1	7	9	-3.4655530846
0	4	5	-0.1684442770
0	4	6	-0.0120140015
0	4	7	-2.5965913404
0	4	8	-0.0896790895
0	4	9	-0.0721863803
2	7	8	-0.3033067559
2	7	9	-1.7196591032
2	8	9	-0.0010820364
0	3	4	0.1262728018
0	3	5	-0.0000000000
0	3	6	-2.4052828813
0	3	7	-0.3985868503
0	3	8	-2.4052828813
0	3	9	-2.4049028864
2	6	7	-0.0621422745
2	6	8	-0.5397167762
2	6	9	-4.3570547046
3	4	5	-0.0383487439
3	4	6	0.2237815026
3	4	7	-0.6371392350
3	4	8	0.0654771858
3	4	9	0.3300510738
0	8	9	-0.0230351314
2	5	6	-0.1259077420
2	5	7	0.2372836402
2	5	8	0.2925209757
2	5	9	0.0035602545
3	7	8	-2.1596454258
3	7	9	-7.0282436614
0	6	7	-3.0275239758
0	6	8	-2.0779119155
0	6	9	-1.1178750525
2	4	5	-0.0958508577
2	4	6	-1.6826028969
2	4	7	-1.4485266107
2	4	8	0.0133747874
2	4	9	-0.0229854926
3	8	9	-0.0309477588
0	5	6	-0.0226471932
0	5	7	0.0000000000
0	5	8	0.0000000000
0	5	9	0.0462580629
3	5	6	-0.3335801472
3	5	7	0.3283266553
3	5	8	0.0419381946
3	5	9	-0.0116498784
4	7	8	-0.3994272816
4	7	9	-1.0479107561
1	5	6	-0.2063316707
1	5	7	0.2126028888
1	5	8	0.0259403260
1	5	9	0.0105640051
3	6	7	-0.0735968135
3	6	8	-0.0145359889
3	6	9	-2.4893516598
4	6	7	-0.7990080900
4	6	8	-0.1355514752
4	6	9	0.0120802871
1	3	4	0.2256672970
1	3	5	0.0687263357
1	3	6	-0.5163809385
1	3	7	-4.0491642882
1	3	8	-0.5163809385
1	3	9	-2.6124009381
4	8	9	-0.0676850458
5	6	7	0.3696349367
5	6	8	0.3023761374
5	6	9	-0.0017300101
1	2	3	-0.6884003748
1	2	4	-0.5766521121
1	2	5	0.2490557098
1	2	6	-2.0085821387
1	2	7	0.0927598215
1	2	8	0.0034182305
1	2	9	0.0010465511
4	5	6	-0.1968552283
4	5	7	-0.3355216784
4	5	8	-0.0447069238
4	5	9	-0.5724153368
5	7	8	0.2372836402
5	7	9	0.0561572652
0	1	2	-0.0175888036
0	1	3	-2.2055365252
0	1	4	-0.0389706244
0	1	5	0.0000000000
0	1	6	-4.5373283426
0	1	7	-2.8855415302
0	1	8	-4.5373283426
0	1	9	-1.3263593018
1	8	9	-0.2865325334
2	3	4	0.0067094945
2	3	5	0.1155350081
2	3	6	-0.0298087077
2	3	7	-0.5823340791
2	3	8	-0.6392014979
2	3	9	-0.8945041684
0	7	8	-1.4956843958
0	7	9	-0.2000758118
5	8	9	0.0035602545
6	7	8	-1.1989920499
6	7	9	-3.2171557641
1	4	5	0.1777861757
1	4	6	-0.4496224151
1	4	7	-1.1501005737
1	4	8	0.0851767111
1	4	9	-0.1171534675
6	8	9	-1.7857843567
7	8	9	-1.7196591032
